ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),TimeSinceStartinms,YYYY-MO-DD HH-MI-SS_SSS,Activity
1.866,-0.1362,-1.0624,-0.14977,7.1734,5.1567,-1.9957,0.50885,0.023518,3031652,2021-05-02 14:22:27:854,Jogging
2.152,-1.076,-1.0624,-0.19259,6.1629,5.1241,-1.89,0.20159,0.066279,3031653,2021-05-02 14:22:27:855,Jogging
-2.1248,-5.5435,-1.2531,-3.5561,2.3237,4.424,-2.5314,-2.5629,0.85246,3031654,2021-05-02 14:22:27:856,Jogging
-0.54481,-15.514,-3.051,-1.5322,-7.0095,1.7319,-3.1579,-4.0482,1.5919,3031655,2021-05-02 14:22:27:857,Jogging
0.8036,-18.537,-2.8603,-0.046793,-9.6124,1.1138,-4.9028,-3.0681,2.1707,3031656,2021-05-02 14:22:27:858,Jogging
-7.3822,-19.518,-3.3915,-7.2482,-10.21,-0.30836,-5.886,-3.2049,2.1182,3031657,2021-05-02 14:22:27:859,Jogging
-13.729,-19.532,-8.5263,-13.02,-10.631,-4.4699,-5.5241,-3.0684,2.0971,3031658,2021-05-02 14:22:27:860,Jogging
6.4697,-19.532,-6.0883,7.6253,-10.433,-2.6173,-6.3289,0.42364,2.8094,3031659,2021-05-02 14:22:27:861,Jogging
17.802,-19.532,3.8954,19.113,-10.643,7.8258,-4.8127,0.53603,0.70127,3031660,2021-05-02 14:22:27:862,Jogging
12.708,-11.686,5.094,10.427,-2.2593,6.5443,-4.8069,-5.4737,0.686,3031661,2021-05-02 14:22:27:863,Jogging
3.8001,-1.6344,7.5729,1.25,7.798,8.4072,-3.4893,-6.138,0.73884,3031662,2021-05-02 14:22:27:864,Jogging
-3.9363,7.7227,6.4016,-6.3302,17.228,6.6985,-2.8998,-5.484,0.62247,3031663,2021-05-02 14:22:27:865,Jogging
